run_id,instance,scenario,model,ativar_bem_estar,zip_file,timestamp,TOL_COMPOSICAO,TOL_TREINO,TOL_PESSOAS_ALOCADAS,status_solver,custo_total_folha,funcionarios_alocados,total_funcionarios,perc_funcionarios_alocados,total_alocacoes,projetos_ativos,total_projetos,upgrades,perc_upgrades,media_pessoas_projeto,viol_distancia,viol_autoexclusao,viol_descompressao,viol_treino,fitness_final,tempo_execucao_s,gap_otimalidade,geracoes_ga,ga_seed,ga_geracoes_max,ga_ilhas,ga_pop_ilha,PESO_DIST,PESO_AUTO,PESO_DESC,PESO_TREINO,PESO_HARD,PESO_DESVIO_COMP,PESO_SDEM
01,I1_SMALL,C_MILP_BE,MILP,True,SMALL_V15.zip,2026-03-03T17:45:05.144366,0.01,0.02,0.05,Optimal,25930402.33,209,220,95.0,405,60,60,,,6.75,0,0,0,,25930402.33,46.4,0.01,,,,,,,,,,,,
02,I2_LARGE_05X,C_MILP_BE,MILP,True,LARGE_05X_V01.zip,2026-03-03T17:45:05.150296,0.01,0.02,0.05,Optimal,183331957.86,570,600,95.0,1074,160,160,,,6.71,0,0,0,,183331957.86,274.6,0.01,,,,,,,,,,,,
03,I3_LARGE,C_MILP_BE,MILP,True,LARGE_V31.zip,2026-03-03T17:45:05.152597,0.01,0.02,0.05,Optimal,375222686.8,1140,1200,95.0,2148,320,320,,,6.71,0,0,0,,375222686.8,1200.0,0.01,,,,,,,,,,,,
04,I4_LARGE_15X,C_MILP_BE,MILP,True,LARGE_15X_V01.zip,2026-03-03T17:45:05.155982,0.01,0.02,0.05,Optimal,572373780.51,1710,1800,95.0,3222,480,480,,,6.71,0,0,0,,572373780.51,3047.3,0.01,,,,,,,,,,,,
05,I5_LARGE_25X,C_MILP_BE,MILP,True,LARGE_25X_V01.zip,2026-03-03T17:45:05.158495,0.01,0.02,0.05,Optimal,1196759692.86,2855,3000,95.2,5388,800,800,,,6.74,0,0,0,,1196759692.86,4315.2,0.01,,,,,,,,,,,,
01,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-03T17:48:49.283808,0.01,0.02,0.05,Optimal,27868529.89,202,220,91.82,558,60,60,0,0.0,9.3,325,1,0,20,2089868529.93,146.84,,216,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
02,I2_LARGE_05X,A_GA_noBE,GA,False,LARGE_05X_V01.zip,2026-03-03T18:03:16.442920,0.01,0.02,0.05,Optimal,201475869.81,557,600,92.83,1075,160,160,57,9.5,6.72,0,1,0,279,9186475869.75,733.77,,235,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
03,I3_LARGE,A_GA_noBE,GA,False,LARGE_V31.zip,2026-03-03T18:55:46.739401,0.01,0.02,0.05,Optimal,407002325.54,1130,1200,94.17,2160,320,320,120,10.0,6.75,659,2,12,98,21014002326.09,2541.7,,267,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
04,I4_LARGE_15X,A_GA_noBE,GA,False,LARGE_15X_V01.zip,2026-03-03T20:37:36.561078,0.01,0.02,0.05,Optimal,591544162.14,1716,1800,95.33,3092,480,480,171,9.5,6.44,0,0,0,792,36761906063.94,4790.81,,346,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
05,I5_LARGE_25X,A_GA_noBE,GA,False,LARGE_25X_V01.zip,2026-03-04T07:01:00.288689,0.01,0.02,0.05,Optimal,1027912919.57,2855,3000,95.17,5107,800,800,286,9.53,6.38,0,0,19,1380,75569912919.8,33758.77,,251,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
01,I1_SMALL,B_GA_BE,GA,True,SMALL_V15.zip,2026-03-04T12:30:57.811566,0.01,0.02,0.05,Optimal,25770757.4,212,220,96.36,531,60,60,0,0.0,8.85,291,0,0,25,2753770757.4,22.71,,237,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
02,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-04T12:47:28.944795,0.01,0.02,0.05,Optimal,187002722.61,572,600,95.33,1028,160,160,54,9.0,6.42,0,2,0,264,8984002722.62,148.81,,207,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
03,I3_LARGE,B_GA_BE,GA,True,LARGE_V31.zip,2026-03-04T13:01:21.275484,0.01,0.02,0.05,Optimal,345217216.08,1159,1200,96.58,1981,320,320,120,10.0,6.19,589,1,4,104,23908387247.21,507.77,,232,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
04,I4_LARGE_15X,B_GA_BE,GA,True,LARGE_15X_V01.zip,2026-03-04T14:49:12.400615,0.01,0.02,0.05,Optimal,593665683.58,1723,1800,95.72,3102,480,480,170,9.44,6.46,0,3,7,794,36468665683.9,5452.7,,249,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
05,I5_LARGE_25X,B_GA_BE,GA,True,LARGE_25X_V01.zip,2026-03-04T20:00:56.530703,0.01,0.02,0.05,Optimal,1135670612.39,2716,3000,90.53,5388,800,800,280,9.33,6.74,0,2,21,1454,70029670612.8,16200.36,,272,42,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
