run_id,instance,scenario,model,ativar_bem_estar,zip_file,timestamp,TOL_COMPOSICAO,TOL_TREINO,TOL_PESSOAS_ALOCADAS,status_solver,custo_total_folha,funcionarios_alocados,total_funcionarios,perc_funcionarios_alocados,total_alocacoes,projetos_ativos,total_projetos,upgrades,perc_upgrades,media_pessoas_projeto,viol_distancia,viol_autoexclusao,viol_descompressao,viol_treino,fitness_final,tempo_execucao_s,gap_otimalidade,geracoes_ga,ga_seed,ga_geracoes_max,ga_ilhas,ga_pop_ilha
01,I1_SMALL,C_MILP_BE,MILP,True,SMALL_V15.zip,2026-03-03T13:47:21.241157,0.01,0.02,0.05,Optimal,25930402.33,209,220,95.0,405,60,60,,,6.75,0,0,0,,25930402.33,46.4,0.01,,,,,
02,I2_LARGE_05X,C_MILP_BE,MILP,True,LARGE_05X_V01.zip,2026-03-03T13:47:21.250622,0.01,0.02,0.05,Optimal,183331957.86,570,600,95.0,1074,160,160,,,6.71,0,0,0,,183331957.86,274.6,0.01,,,,,
03,I3_LARGE,C_MILP_BE,MILP,True,LARGE_V31.zip,2026-03-03T13:47:21.262352,0.01,0.02,0.05,Optimal,375222686.8,1140,1200,95.0,2148,320,320,,,6.71,0,0,0,,375222686.8,1200.0,0.01,,,,,
04,I4_LARGE_15X,C_MILP_BE,MILP,True,LARGE_15X_V01.zip,2026-03-03T13:47:21.277316,0.01,0.02,0.05,Optimal,572373780.51,1710,1800,95.0,3222,480,480,,,6.71,0,0,0,,572373780.51,3047.3,0.01,,,,,
05,I5_LARGE_25X,C_MILP_BE,MILP,True,LARGE_25X_V01.zip,2026-03-03T13:47:21.287724,0.01,0.02,0.05,Optimal,1196759692.86,2855,3000,95.2,5388,800,800,,,6.74,0,0,0,,1196759692.86,4315.2,0.01,,,,,
01,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-03T13:50:11.146173,0.01,0.02,0.05,Optimal,28072429.48,206,220,93.64,559,60,60,0,0.0,9.32,319,1,0,20,2160072429.44,55.32,,186,42,400,4,40
02,I2_LARGE_05X,A_GA_noBE,GA,False,LARGE_05X_V01.zip,2026-03-03T14:11:31.737620,0.01,0.02,0.05,Optimal,202021198.02,556,600,92.67,1066,160,160,59,9.83,6.66,0,1,4,294,8526421198.21,591.79,,177,42,400,4,40
03,I3_LARGE,A_GA_noBE,GA,False,LARGE_V31.zip,2026-03-03T14:28:20.061243,0.01,0.02,0.05,Optimal,326806666.54,1147,1200,95.58,1857,320,320,120,10.0,5.8,547,2,5,95,23560306666.59,608.38,,248,42,400,4,40
04,I4_LARGE_15X,A_GA_noBE,GA,False,LARGE_15X_V01.zip,2026-03-03T15:04:38.256292,0.01,0.02,0.05,Optimal,590423984.8,1712,1800,95.11,3115,480,480,172,9.56,6.49,0,0,6,777,38083123985.21,1456.85,,266,42,400,4,40
05,I5_LARGE_25X,A_GA_noBE,GA,False,LARGE_25X_V01.zip,2026-03-03T16:43:43.613937,0.01,0.02,0.05,Optimal,989190283.12,2867,3000,95.57,5010,800,800,293,9.77,6.26,0,0,15,1301,74440502028.18,3922.93,,282,42,400,4,40
